"responseid","interview_start","interview_end","internal_job","id","vend","vd","mode","state","zipcode","dmacode","dmaname","prizmne","age","ppinhh","weightbystate","marital_status","number_in_household","children_under_18_in_household","Level_of_Education","Level_of_Income","gender","Ethnicity","question_1","Question_2","Question_3","TRIP_ONE","TRIP_TWO","TRIP_THREE","TRIP_FOUR","TRIP_FIVE","TRIP_SIX","number_of_nights_trip_1","month_trip_1","main_reason_trip_1","question_6","Question_7","question_8","Question_9","Question_10","question_12_UNITED","question_13","question_14","question_15","question_16","Question_17","Question_18","Question_19_UNITED","Question_20","Question_21"
2143,"11/24/2015 8:23:57","11/24/2015 8:27:33",1269101,"1275474491",1,1,2,"ID","83607",757,"Boise, ID","50",27,4,0.51737,"Married",9,2,"Some College/Technical School","3) $50,000 but less than $75,000","Female","caucasian/white","Montana, and North Dakota, and South Dakota, and Wisconsin","Montana, and North Dakota","Very Likely, and Very Likely, and Very Likely, and Very Likely, and Very Likely, and Very Likely, and Very Likely, and Very Likely","March, 51, FAMILY","","","","","",51,"March","FAMILY","I was ultimately headed somewhere else but included a visit to South Dakota","Missouri","At Least 1 Month In Advance","Called 800 Number to Request Info, and Contacted Individual Chamber of Commerce to Request Information","Drove via car, van, truck, or SUV",2,"Child(ren)/Grandchild(ren):age 0-12","RV park/Campground","Outdoor Recreation, and Rodeos","Rodeos, and 0","Missouri River","State Capitol","Good","0, and 0, and 0, and 0, and 0, and 0, and 0","Every Chance You Get, and Every Chance You Get, and Every Chance You Get, and Often, and Every Chance You Get, and Often, and Every Chance You Get, and Often"
3760,"11/25/2015 11:10:37","11/25/2015 11:15:47",1269101,"EPOD2WVHM7VRCYT481",2,2,1,"CO","80403",751,"Denver, CO","11",34,2,0.65221,"Married",2,0,"Post Graduate Degree","5) $100,000 but less than $150,000","Male","caucasian/white","Minnesota, and Nebraska, and South Dakota","","Not Likely, and Very Likely, and Not Likely, and Somewhat Likely, and Somewhat Likely, and Very Likely, and Somewhat Likely, and Somewhat Likely","January, 20, FRIENDS","","","","","",20,"January","FRIENDS","South Dakota Was My Only Destination","","At Least 1 Month In Advance","Talked to Friends and Family","Drove via car, van, truck, or SUV",2,"Spouse/Significant Other","With Friends or Family","Family fun, and Outdoor Recreation","Family fun, and Outdoor Recreation, and 0","Glacial Lakes, and Southeast SD","Brookings, and Laura Ingalls Wilder, and 0","Good","0, and 500, and 200, and 200, and 0, and 200, and 0","You've done it, but it was over a year ago, and You have never done it and probably never will, and Occasionally when you have an opportunity, and You've done it, but it was over a year ago, and You have NOT done it, but would like to try sometime, and You have NOT done it, but would like to try sometime, and You've done it, but it was over a year ago, and You have never done it and probably never will"
1528,"11/23/2015 20:31:39","11/23/2015 20:49:32",1269101,"EPOCZKPRDPZLWP7487",2,2,2,"SD","57401",725,"Sioux Falls (Mitchell), SD","41",52,2,0.30256,"Married",7,0,"Some College/Technical School","3) $50,000 but less than $75,000","Male","caucasian/white","North Dakota, and South Dakota, and Wisconsin","South Dakota","Not Likely, and Very Likely, and Not Likely, and Somewhat Likely, and Not Likely, and Very Likely, and Not Likely, and Somewhat Likely","July, 20, FRIENDS","August, 2, FRIENDS","","","","",20,"July","FRIENDS","South Dakota Was My Only Destination","","Less Than 1 Month In Advance","Talked to Friends and Family, and Used Internet","Drove via car, van, truck, or SUV",4,"Spouse/Significant Other, and Child(ren)/Grandchild(ren):age 0-12","RV park/Campground, and Homesharing/vacation rental","Family fun, and History/Old West, and National/State Parks, and Events/Entertainment, and Wildlife Viewing, and Outdoor Recreation, and Camping and RV, and Fishing, and Hunting, and Water Recreation, and Scenic Byways/Drives, and Native American Culture","Family fun, and Camping and RV, and Fishing, and 0","Glacial Lakes","Watertown, and Aberdeen, and Huron, and Fort Sisseton, and Laura Ingalls Wilder, and Story Book Land, and Children's Museum of South Dakota, and Sioux Falls, and Yankton, and Vermillion, and Great Plains Zoo, and Corn Palace, and Palisades State Park, and Music Museum, and Prehistoric Indian Village, and Lewis and Clark Rec Area, and Falls Park, and Sioux Falls Two, and Other, and 1","Excellent","600, and 800, and 200, and 250, and 100, and 1100, and 0","Every Chance You Get, and Every Chance You Get, and You have NOT done it, but would like to try sometime, and Every Chance You Get, and Often, and Often, and Often, and Every Chance You Get"
2264,"11/24/2015 9:38:24","11/24/2015 9:46:08",1269101,"1306328968",1,1,2,"CO","80125",751,"Denver, CO","05",30,1,0.65221,"Single/never married",6,NA,"College Graduate","3) $50,000 but less than $75,000","Female","caucasian/white","South Dakota","South Dakota","Not Likely, and Not Likely, and Somewhat Likely, and Somewhat Likely, and Somewhat Likely, and Very Likely, and Not Likely, and Not Likely","August, 14, FRIENDS","","","","","",14,"August","FRIENDS","South Dakota Was My Only Destination","","Less Than 1 Month In Advance","Talked to Friends and Family, and Used Internet","Flew/airplane, and DIA- FSD",1,"","With Friends or Family","Family fun, and Arts and Culture, and Events/Entertainment, and Culinary/Brewery/Wine","Family fun, and 0","Southeast SD","","Excellent","0, and 300, and 100, and 200, and 30, and 1200, and 0","Occasionally when you have an opportunity, and You have NOT done it, but would like to try sometime, and Every Chance You Get, and Occasionally when you have an opportunity, and Occasionally when you have an opportunity, and You've done it, but it was over a year ago, and Often, and You've done it, but it was over a year ago"
4484,"12/2/2015 11:32:55","12/2/2015 11:39:04",1269101,"EPO8V8XDWS7PPYG464",2,2,2,"GA","30341",524,"Atlanta, GA","22",65,1,0.51737,"Divorced/separated",9,NA,"College Graduate","1) Less than $35,000","Female","caucasian/white","South Dakota","South Dakota","Somewhat Likely, and Somewhat Likely, and Somewhat Likely, and Somewhat Likely, and Somewhat Likely, and Not Likely, and Somewhat Likely, and Somewhat Likely","June, 14, FAMILY","","","","","",14,"June","FAMILY","South Dakota Was My Only Destination","","6 Months Or More In Advance","Used Internet","Flew/airplane, and Rapid city",1,"","Hotel, motel, inn, lodge, b&b, or resort","History/Old West, and National/State Parks, and Wildlife Viewing, and Archeology/Paleontology, and Native American Culture","National/State Parks, and Wildlife Viewing, and Native American Culture, and 0","Black Hills","Rapid City, and Hill City, and Hot Springs, and Deadwood, and Badlands, and Custer, and Mount Rushmore, and Crazy Horse, and Wall Drug, and Harney Peak","Very Good","300, and 300, and 300, and 0, and 0, and 300, and 0","Occasionally when you have an opportunity, and Occasionally when you have an opportunity, and Occasionally when you have an opportunity, and Occasionally when you have an opportunity, and Occasionally when you have an opportunity, and Occasionally when you have an opportunity, and Occasionally when you have an opportunity, and Occasionally when you have an opportunity"
4489,"12/2/2015 11:43:25","12/2/2015 11:48:36",1269101,"EPO8V8XDWS7PPYG464",2,2,2,"GA","30341",524,"Atlanta, GA","22",65,1,0.51737,"Divorced/separated",2,NA,"College Graduate","1) Less than $35,000","Female","caucasian/white","South Dakota","South Dakota","Somewhat Likely, and Somewhat Likely, and Somewhat Likely, and Somewhat Likely, and Somewhat Likely, and Not Likely, and Not Likely, and Somewhat Likely","June, 14, FAMILY","","","","","",14,"June","FAMILY","South Dakota Was My Only Destination","","6 Months Or More In Advance","Used Internet","Flew/airplane, and Rapid city",1,"","Hotel, motel, inn, lodge, b&b, or resort","History/Old West, and Wildlife Viewing, and Archeology/Paleontology, and Native American Culture","History/Old West, and Wildlife Viewing, and Native American Culture, and 0","Black Hills","Rapid City, and Hill City, and Deadwood, and Badlands, and Custer, and Mount Rushmore, and Crazy Horse, and Wall Drug, and Harney Peak","Very Good","300, and 300, and 300, and 0, and 0, and 300, and 0","You've done it, but it was over a year ago, and You've done it, but it was over a year ago, and You've done it, but it was over a year ago, and You've done it, but it was over a year ago, and You've done it, but it was over a year ago, and Occasionally when you have an opportunity, and Occasionally when you have an opportunity, and You've done it, but it was over a year ago"
6108,"12/5/2015 17:28:24","12/5/2015 17:36:47",1269101,"1309619495",1,1,1,"WI","54601",702,"La Crosse-Eau Claire, WI","53",22,1,3.79408,"Single/never married",7,NA,"Some College/Technical School","1) Less than $35,000","Female","caucasian/white","Minnesota, and North Dakota, and South Dakota, and Wisconsin","Minnesota, and South Dakota, and Wisconsin","Somewhat Likely, and Very Likely, and Not Likely, and Somewhat Likely, and Very Likely, and Very Likely, and Very Likely, and Not Likely","January, 13, FRIENDS","March, 5, FRIENDS","May, 6, FRIENDS","August, 5, FRIENDS","December, 7, FRIENDS","",13,"January","FRIENDS","South Dakota was one of several places I decided to visit on this trip","Iowa, and Illinois, and Michigan, and Nevada","At Least 2 Months In Advance","Talked to Friends and Family, and Used Internet, and Contacted Individual Attraction or Event to Request Information","Drove via car, van, truck, or SUV",4,"Friends/Acquaintances","Hotel, motel, inn, lodge, b&b, or resort, and With Friends or Family","National/State Parks, and Events/Entertainment, and Outdoor Recreation, and Motorcycling","Motorcycling, and 0","Black Hills, and Southeast SD","Rapid City, and Mount Rushmore, and Wall Drug, and Sturgis Rally","Very Good","200, and 250, and 100, and 50, and 100, and 250, and 0","Occasionally when you have an opportunity, and You've done it, but it was over a year ago, and Every Chance You Get, and Every Chance You Get, and Every Chance You Get, and Occasionally when you have an opportunity, and Often, and You have NOT done it, but would like to try sometime"
2203,"11/24/2015 9:01:26","11/24/2015 9:07:35",1269101,"EPOCZWTVJLDJ4K4485",2,2,2,"CO","80031",751,"Denver, CO","12",47,2,0.65221,"Married",3,0,"College Graduate","6) $150,000 or more","Male","caucasian/white","South Dakota, and Wyoming","South Dakota, and Wyoming","Not Likely, and Somewhat Likely, and Not Likely, and Not Likely, and Not Likely, and Not Likely, and Somewhat Likely, and Not Likely","August, 11, FAMILY","","","","","",11,"August","FAMILY","South Dakota was one of several places I decided to visit on this trip","Wyoming","At Least 3 Months In Advance","Used Internet, and Used Online Review Site Such As TripAdvisor or Yelp","Drove via car, van, truck, or SUV",4,"Spouse/Significant Other, and Child(ren)/Grandchild(ren):age 0-12, and Other Family","Hotel, motel, inn, lodge, b&b, or resort","Family fun, and History/Old West, and National/State Parks, and Wildlife Viewing, and Outdoor Recreation, and Scenic Byways/Drives","Family fun, and National/State Parks, and Scenic Byways/Drives, and 0","Black Hills","Rapid City, and Badlands, and Mount Rushmore","Excellent","229, and 250, and 75, and 50, and 100, and 200, and 0","You have NOT done it, but would like to try sometime, and You have NOT done it, but would like to try sometime, and Occasionally when you have an opportunity, and You have never done it and probably never will, and You've done it, but it was over a year ago, and Often, and Often, and You've done it, but it was over a year ago"
4742,"12/4/2015 12:29:24","12/4/2015 12:37:43",1269101,"1298517414",1,1,1,"MN","56052",613,"Minneapolis-St. Paul, MN","28",64,2,0.56618,"Married",6,0,"College Graduate","4) $75,000 but less than $100,000","Female","caucasian/white","Minnesota, and South Dakota","Minnesota, and South Dakota","Not Likely, and Very Likely, and Not Likely, and Not Likely, and Not Likely, and Not Likely, and Very Likely, and Not Likely","September, 11, FAMILY","","","","","",11,"September","FAMILY","South Dakota Was My Only Destination","","6 Months Or More In Advance","Talked to Friends and Family, and Used Internet, and Contacted Individual Attraction or Event to Request Information, and Used Social Media Such as Facebook or Pinterest","Drove via car, van, truck, or SUV",4,"Friends/Acquaintances","RV park/Campground","History/Old West, and Casinos, and Events/Entertainment, and Outdoor Recreation, and Motorcycling, and Camping and RV, and Culinary/Brewery/Wine, and Scenic Byways/Drives","Motorcycling, and 0","Black Hills","Rapid City, and Deadwood, and Sturgis Rally","Excellent","1000, and 500, and 200, and 500, and 500, and 1000, and 200","Every Chance You Get, and You have never done it and probably never will, and Occasionally when you have an opportunity, and Often, and Often, and Often, and Occasionally when you have an opportunity, and You have NOT done it, but would like to try sometime"
4409,"12/1/2015 7:43:59","12/1/2015 7:52:45",1269101,"1297011585",1,1,2,"OH","44134",510,"Cleveland-Akron (Canton), OH","26",62,2,3.90905,"Divorced/separated",5,0,"Some College/Technical School","3) $50,000 but less than $75,000","Male","caucasian/white","Iowa, and South Dakota, and Wyoming","Iowa, and South Dakota, and Wyoming","Not Likely, and Not Likely, and Not Likely, and Not Likely, and Not Likely, and Not Likely, and Not Likely, and Somewhat Likely","July, 10, FAMILY","","","","","",10,"July","FAMILY","South Dakota Was My Only Destination","","6 Months Or More In Advance","Used Internet, and Used Online Travel Agency Such As Expedia or Orbitz, and Used Online Review Site Such As TripAdvisor or Yelp","Drove via car, van, truck, or SUV",2,"Spouse/Significant Other","Hotel, motel, inn, lodge, b&b, or resort","History/Old West, and National/State Parks, and Casinos, and Wildlife Viewing, and Archeology/Paleontology, and Culinary/Brewery/Wine, and Scenic Byways/Drives, and Native American Culture","National/State Parks, and Archeology/Paleontology, and 0","Black Hills","Rapid City, and Hill City, and Hot Springs, and Deadwood, and Badlands, and Custer, and Mount Rushmore, and Crazy Horse, and Wall Drug, and Minutemen, and Spearfish Canyon","Excellent","1000, and 200, and 25, and 300, and 0, and 1000, and 0","You've done it, but it was over a year ago, and You have never done it and probably never will, and Occasionally when you have an opportunity, and Often, and Occasionally when you have an opportunity, and Occasionally when you have an opportunity, and Often, and You have never done it and probably never will"
